KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
2065,Enghusene,63%,,,,,102,,,https://pasningogskole.kk.dk/institution/4000268/vuggestuen
2066,Vinkelager,54%,,,,,,,,
2067,Vuggestuen Rugvej,54%,8,4,,12,44,4,"55.713804742771565, 12.483976429960878",https://vuggestuenrugvej-kk.aula.dk/forside/om-os/vuggestuen-rugvej
2068,Eventyrlandet i Klynge Radius,61%,,,,,,,,
2069,Børnehjørnet Valborg,51%,,,,,,,,
2071,Vindsuset,65%,6,3,,9,75,9,"55.774332762673126, 12.535018169955364",https://simplyjob.com/421825/kbenhavns-kommune/engageret-og-energisk-paedagog-samt-to-paedagogmedhjaelpere-til-udflytterbrnehaven-vindsuset
2076,Landsbyen,56%,,,,36,148,5,,
2077,Tusindfryd,53%,3,2,,5,44,9,"55.669637222811794, 12.551206529953765 ",https://simplyjob.com/373962/kbenhavns-kommune/paedagog-i-barselsvikariat-til-tusindfryd-i-brnshj
2078,Drivhuset,62%,14,7,,21,128,7,"55.77552834270387, 12.421655999966518 ",https://pasningogskole.kk.dk/institution/4000448/vuggestuen
2079,Arken,67%,,,,,,,,
2081,Stjerneskuddet,62%,3,2,,5,44,9,"55.6662465028164, 12.55124477995377 ",https://simplyjob.com/511308/kbenhavns-kommune/paedagog-til-velfungerende-brnehaveteam-i-stjerneskuddet
2082,Slottet,56%,10,7,Ja,17,85,5,"55.66962446281133, 12.55267430995359",https://slottet-kk.aula.dk/om-os/slottet
2083,Børnehuset ByToften,62%,18,7,Ja,25,150,6,"55.672388422807565, 12.552664929953588 ",https://pasningogskole.kk.dk/institution/4000480/b-rnehave
2084,Molevitten,63%,12,5,,17,88,6,,https://molevittenvesterbro.dk/om-os/mod-personalet/
2085,Lærkereden,62%,11,6,Ja,17,76,5,"55.6484424228496, 12.522802499956994 ",https://laerkereden-kk.aula.dk/om-os/laerkereden
2086,Firkløveret,56%,,,,,,,,
2090,Midtfløjene/Grostedet,54%,14,8,,22,126,6,"55.66411100282259, 12.540897949954955 ",Mail 
2091,Haven,53%,,,,,,,,
2092,Skattesuset,58%,,,,,160,,,https://simplyjob.com/511217/kbenhavns-kommune/paedagogmedhjaelper-til-vuggestuehuset-skattesuset
2095,Grøndalslund,53%,,,,,90,,,https://pasningogskole.kk.dk/institution/4000576/b-rnehave
2150,Børnehuset Legegod,48%,,,,,106,,,https://simplyjob.com/341720/kbenhavns-kommune/paedagogmedhjaelper-til-vuggestuen-i-brnehuset-legegod-barselsvikariat
2151,Klatretræet på Vesterbro,64%,6,3,,9,63,7,"55.69887579275951, 12.588732989949158 ",https://klatretraeet-kk.aula.dk/om-os/hvem-er-klatretraeet
2152,BørnenesVerden,56%,,,,24,107,5,"55.69984468275925, 12.585553369949551",Mail
2154,Transformeren,63%,,,,,108,,,https://pasningogskole.kk.dk/institution/4000315/vuggestuen
2155,Vuggestuerne Viktoria og Abel,37%,,,,,,,,
2156,Barndommens Gade,51%,12,12,,24,74,4,"55.71374538274213, 12.579703559950248 ",https://barndommensgade-kk.aula.dk/om-os/organisering
2157,Daginstitutionen Vesterbro Børneliv,56%,,,,23,103,5,"55.70479206275143, 12.588692709949141 ",Mail
2158,Stubmøllen,56%,12,6,ja,18,80,5,"55.700085582759804, 12.58284827994989 ",https://stubmoellen-kk.aula.dk/
2163,Absalons Have,58%,,,,,80,,,https://pasningogskole.kk.dk/institution/4000459
